"name","id"
"Belgershain","8011132"
"Belleben","8011133"
"Bellenberg","8000862"
"Benediktbeuern","8000869"
"Bennemühlen","8000871"
"Bellheim","8000863"
"Bempflingen","8000865"
"Bengel","8000870"
"Bad Belzig","8010031"
"Benningen (Neckar)","8000873"
"Bennungen","8011138"
"Bennigsen","8000872"
"Bellevue","8089005"
"Bensheim-Auerbach","8000877"
"Bentwisch","8011140"
"Benshausen","8011139"
"Beratzhausen","8000882"
"Berga (Elster)","8011144"
"Berchtesgaden Hbf","8000885"
"Berga-Kelbra","8010032"
"Bergen (Oberbay)","8000888"
"Bensheim","8000031"
"Bergenweiler","8000889"
"Bergfelde (b Berlin)","8080100"
"Berghausen","8000892"
"Berghausen (Pfalz)","8000894"
"Bergen auf Rügen","8010033"
"Bergsdorf","8011149"
"Bergtheim","8000902"
"Beringhausen","8000904"
"Bergheim (Erft)","8000355"
"Bergwitz","8011150"
"Beringstedt","8000905"
"Bergisch Gladbach","8000899"
"Berkenbrück","8011154"
"Berlin Hbf","8098160"
"Berlin Anhalter Bahnhof","8089002"
"Greifswalder Straße","8089011"
"Berlin Frankfurter Allee","8089013"
"Berlin-Blankenburg","8089056"
"Berlin-Nordbahnhof","8089024"
"Berlin-Gesundbrunnen","8011102"
"Berlin Ostbahnhof","8010255"
"Berlin-Buch","8089057"
"Berlin-Adlershof","8089052"
"Berlin-Friedrichstraße","8011306"
"Berlin-Grunewald","8089062"
"Berlin-Friedrichshagen","8089060"
"Berlin-Frohnau","8089061"
"Berlin-Grünau","8089063"
"Berlin-Charlottenburg","8010403"
"Berlin-Hermsdorf","8089064"
"Berlin-Halensee","8089109"
"Berlin-Karow","8011046"
"Berlin-Hohenschönhausen","8011901"
"Berlin-Kaulsdorf","8089068"
"Berlin-Karlshorst","8010035"
"Berlin-Köpenick","8089069"
"Berlin-Lichterfelde West","8089071"
"Berlin Zoologischer Garten","8010406"
"Berlin-Mahlsdorf","8089072"
"Berlin-Marienfelde","8089074"
"Berlin-Rummelsburg","8089084"
"Berlin-Lichtenberg","8010036"
"Berlin-Schlachtensee","8089085"
"Berlin-Marzahn","8089075"
"Berlin-Neukölln","8089077"
"Berlin-Schönholz","8089087"
"Berlin-Spindlersfeld","8089088"
"Berlin-Staaken","8013021"
"Berlin-Pankow","8089080"
"Berlin-Schöneweide Pbf","8010041"
"Berlin-Wannsee","8010405"
"Berlin-Wilhelmsruh","8089095"
"Bermatingen-Ahausen","8000909"
"Berlin-Tempelhof","8089090"
"Bernau a. Chiemsee","8000911"
"Bernburg-Friedenshall","8011168"
"Bernburg","8010043"
"Bernburg-Strenzfeld","8011169"
"Bernau (b Berlin)","8013470"
"Bernburg-Waldau Hp","8011170"
"Berne","8000913"
"Bernried","8000918"
"Berlin-Zehlendorf","8089098"
"Bernterode","8011172"
"Berthelsdorf (Erzgeb)","8010044"
"Bersenbrück","8000919"
"Berzhahn","8000921"
"Berlin-Spandau","8010404"
"Besch","8000923"
"Berliner Tor","8000908"
"Besigheim","8000925"
"Bestensee","8011173"
"Bestwig","8000927"
"Besseringen","8000926"
"Bettmannsäge","8000928"
"Beuggen","8000932"
"Betzdorf (Sieg)","8000034"
"Betriebsbahnhof Berlin-Rummelsburg","8089006"
"Beuron","8000933"
"Beucha","8010046"
"Beuren","8011178"
"Beuna (Geiseltal)","8011177"
"Beutelsbach","8000934"
"Beutersitz","8011179"
"Betriebsbahnhof Berlin-Schöneweide","8089007"
"Beyendorf","8011181"
"Biberach (Baden)","8000942"
"Bibra","8011183"
"Biblis","8000503"
"Bichl","8000945"
"Bexbach","8000941"
"Bickenbach (Bergstr)","8000948"
"Biederitz","8010047"
"Biebesheim","8000951"
"Biendorf","8011184"
"Biberach (Riß)","8000943"
"Bienenbüttel","8000955"
"Bierbach","8000357"
"Bienenmühle","8011185"
"Bieren-Rödinghausen","8000957"
"Bieringen","8000959"
"Bad Aibling Kurpark","8000696"
"Biesenrode","8011187"
"Biesenthal","8011188"
"Bielefeld Ost","8000953"
"Biesdorf","8089055"
"Biessenhofen","8000962"
"Bietigheim (Baden)","8000963"
"Bietingen","8000965"
"Billenhausen","8000969"
"Billerbeck","8000970"
"Bildstock","8000967"
"Bielefeld Hbf","8000036"
"Binau","8000973"
"Bigge","8000966"
"Bietigheim-Bissingen","8000038"
"Billwerder-Moorfleet","8000971"
"Bindfelde","8011190"
"Bindlach","8000974"
"Binolen","8000978"
"Bingen-Gaulsheim","8000975"
"Monreal","8004078"
"Bingen (Rhein) Hbf","8000039"
"Birkelbach","8000983"
"Bingen (Rhein) Stadt","8000976"
"Birkengrund","8080170"
"Birkenau","8000984"
"Ostseebad Binz","8011191"
"Birkenstein","8070002"
"Birkungen","8010048"
"Birresborn","8000989"
"Bischheim-Gersdorf","8011199"
"Birkenwerder (b Berlin)","8080190"
"Bischofswiesen","8000997"
"Maintal West","8000996"
"Bisingen","8000999"
"Bissendorf","8001000"
"Bitburg-Erdorf","8001828"
"Bischofswerda","8010049"
"Bittelbronn","8001002"
"Blaibach (Oberpf)","8001003"
"Blaichach (Allgäu)","8001004"
"Bitterfeld","8010050"
"Blankenberg (Meckl)","8010051"
"Blankenberg (Sieg)","8001006"
"Blankenburg (Harz)","8013439"
"Blankenheim (Kr Sangerhausen)","8010054"
"Blankenfelde (Kr Teltow-Fläming)","8010053"
"Blankenheim (Wald)","8001008"
"Blankensee (Meckl)","8011205"
"Blankenloch","8001009"
"Blankenstein (Saale)","8011206"
"Blaubeuren","8001013"
"Blankenese","8001007"
"Blaustein","8001015"
"Blechhammer (Thür)","8011208"
"Bleichenbach (Oberhess)","8001018"
"Bleibach","8001017"
"Bleicherode Ost","8010055"
"Blindheim","8001028"
"Blieskastel-Lautzkirchen","8001027"
"Blönsdorf","8011210"
"Blumberg (b Berlin)","8011211"
"Blumenberg","8010056"
"Blumenhagen","8011213"
"Böbingen (Rems)","8005979"
"Blumenkamp","8001030"
"Bobenheim","8001032"
"Bobitz","8011215"
"Bobingen","8001033"
"Bobstadt","8001034"
"Bochum-Riemke","8001035"
"Bocholt","8000040"
"Bochum-Ehrenfeld","8001039"
"Bochum-Dahlhausen","8001038"
"Bochum-Langendreer West","8004474"
"Bochum-Hamme","8006710"
"Bochum-Langendreer","8000358"
"Bodelsberg","8001046"
"Bockum-Hövel","8001045"
"Böblingen","8001055"
"Bochum West","8006711"
"Bodenburg","8001048"
"Bodelshausen","8001047"
"Bodenmais","8001051"
"Bodenfelde","8001050"
"Bodenrode","8011219"
"Bodenheim","8000359"
"Bodenwöhr Nord","8001054"
"Bad Bodenteich","8001052"
"Bogen","8001069"
"Bochum Hbf","8000041"
"Böhl-Iggelheim","8001057"
"Böhmhof","8001058"
"Böhlen (b Leipzig)","8013471"
"Bohmte","8001071"
"Böhlen Werke","8011222"
"Böhringen-Rickelshausen","8001059"
"Boisheim","8001072"
"Boizenburg (Elbe)","8011230"
"Bondorf (b Herrenberg)","8001080"
"Bönen","8001061"
"Bookholzberg","8001089"
"Bonn-Beuel","8001083"
"Bonn-Mehlem","8001085"
"Bopfingen","8001090"
"Bonn-Duisdorf","8001084"
"Bonn-Oberkassel","8001086"
"Bordesholm","8001092"
"Boppard Hbf","8000045"
"Borgeln","8001093"
"Borgholzhausen","8001095"
"Bork (Westf)","8001097"
"Steinfurt-Borghorst","8001096"
"Borgsdorf","8080200"
"Borkheide","8011238"
"Bonn-Bad Godesberg","8001082"
"Borken (Hess)","8001098"
"Börnecke (Harz)","8011226"
"Borken (Westf)","8000346"
"Borna (b Leipzig)","8011242"
"Borsdorf (Hess)","8001104"
"Börßum","8001063"
"Bösdorf (Sachs-Anh)","8011228"
"Borsdorf (Sachs)","8010059"
"Bösensell","8001065"
"Bösperde","8001066"
"Wildeck-Bosserode","8001106"
"Bornholmer Straße","8089008"
"Bottrop-Vonderort","8001108"
"Bottrop-Boy","8001107"
"Bottrop Hbf","8000047"
"Botanischer Garten","8089009"
"Brachelen","8001113"
"Brachbach","8001112"
"Bous (Saar)","8001110"
"Brahlstorf","8011248"
"Brake (Unterweser)","8001120"
"Brake (b Bielefeld)","8001118"
"Bonn Hbf","8000044"
"Brakel (Kr Höxter)","8001121"
"Bramsche","8001122"
"Bramstedt (b Syke)","8001123"
"Brand Tropical Islands","8011250"
"Brackwede","8000048"
"Brandenburg-Altstadt","8011252"
"Brandenburg Hbf","8010060"
"Brannenburg","8001129"
"Braubach","8001130"
"Leun/Braunfels","8001132"
"Braunsbedra","8011255"
"Braunsbedra Ost","8011256"
"Braunsdorf-Lichtenwalde","8011257"
"Braunschweig-Gliesmarode","8001134"
"Breddin","8011258"
"Braunschweig Hbf","8000049"
"Breitenbrunn (Schwab)","8001147"
"Bredelar","8001137"
"Brehna","8011260"
"Brebach","8001135"
"Breitendorf","8011264"
"Bredstedt","8001139"
"Breisach","8001143"
"Breitscheidt (Kr Altenkirchen)","8001153"
"Breitengüßbach","8001149"
"Breitungen (Werra)","8011265"
"Bremen Neustadt","8001155"
"Bremen-Oberneuland","8001161"
"Bremen-Hemelingen","8001157"
"Bremen-Mahndorf","8001160"
"Bremen-Lesum","8001159"
"Bremen-Oslebshausen","8001162"
"Bremen-Burg","8001156"
"Bremen-Schönebeck","8001163"
"Bremen-Sebaldsbrück","8001164"
"Bremen-Vegesack","8001166"
"Bremen-St Magnus","8001165"
"Bremerhaven-Lehe Pbf","8001168"
"Breternitz","8011267"
"Bremen-Walle","8001167"
"Bremerhaven-Wulsdorf","8001170"
"Bretleben","8010061"
"Brettorf","8001176"
"Bremerhaven Hbf","8000051"
"Bremen Hbf","8000050"
"Bretzfeld","8001178"
"Bretten","8000053"
"Bretzenheim (Nahe)","8001177"
"Brieselang","8013472"
"Briesen (Mark)","8011269"
"Nettetal-Breyell","8001180"
"Brilon Wald","8000054"
"Britz","8010064"
"Brockhöfe","8001185"
"Ostbevern","8001183"
"Brohl","8001186"
"Broderstorf","8011270"
"Lengede-Broistedt","8001188"
"Brokstedt","8001190"
"Bruchenbrücken","8001196"
"Bruchhausen (b Ettlingen)","8001198"
"Lörrach-Brombach/Hauingen","8001191"
"Bruchköbel","8001199"
"Bruchmühlen","8001201"
"Bruckberg","8001203"
"Ahrbrück","8001209"
"Brück (Mark)","8011271"
"Bruchmühlbach-Miesau","8001200"
"Brucken","8001205"
"Bruckmühl","8001207"
"Hinrichssegen","8002850"
"Bruchsal","8000055"
"Brügge (Westf)","8001213"
"Brühl","8001215"
"Brunau-Packebusch","8011277"
"Bubach","8001221"
"Bubenreuth","8001223"
"Bübingen","8001238"
"Buchbrunn-Mainstockheim","8001225"
"Buchenhorst","8011281"
"Boppard-Buchholz","8001235"
"Buchenhain","8001231"
"Büchen","8000058"
"Büchenbach","8001242"
"Büches-Düdelsheim","8001244"
"Buchholz (Baden)","8001234"
"Buchenau (Oberbay)","8001229"
"Buchholz (Nordheide)","8000056"
"Buchholz (Zauche)","8011282"
"Bückeburg","8001245"
"Buckow (b Beeskow)","8011284"
"Buchloe","8000057"
"Büdingen","8001249"
"Schöneck-Büdesheim","8001248"
"Budenheim","8001237"
"Dreieich-Buchschlag","8001236"
"Bufleben","8010067"
"Büdingen (Oberhess)","8001250"
"Buggingen","8001262"
"Buckower Chaussee","8089010"
"Bühl (Baden)","8001252"
"Buir","8001264"
"Buldern","8001266"
"Bülzig","8011290"
"Bullay DB","8001267"
"Burbach (Kr Siegen)","8001268"
"Bünde (Westf)","8000059"
"Burg (Dithm)","8001273"
"Burg (Dillkr) Nord","8001271"
"Burg Stargard (Meckl)","8011293"
"Burg (b Magdeburg)","8011294"
"Burgau (Schwab)","8001276"
"Burg-und Nieder Gemünden","8000061"
"Burgbernheim","8001277"
"Burgbernheim-Wildbad","8001278"
"Bundesplatz","8089107"
"Burghaun (Kr Hünfeld)","8001283"
"Burgheim","8001285"
"Bürgeln","8001256"
"Burgholzhausen v d Höhe","8001287"
"Burgdorf (Han)","8001279"
"Burglauer","8001290"
"Burgkemnitz","8011296"
"Burgkunstadt","8001289"
"Burgsinn","8001293"
"Burgstall (Murr)","8001296"
"Burgstädt","8011297"
"Burgthann","8001297"
"Burkhardswalde-Maxen","8011298"
"Buschow","8011302"
"Steinfurt-Burgsteinfurt","8000062"
"Büsum","8001259"
"Büsenbachtal","8001258"
"Regensburg-Burgweinting","8001298"
"Bürstadt","8000360"
"Buttenheim","8001310"
"Büttgen","8001261"
"Bützow","8010066"
"Buttstädt","8011304"
"Cadolzburg","8001317"
"Cadenberge","8001316"
"Calau (Niederlausitz)","8010069"
"Butzbach","8001312"
"Calbe (Saale) Ost","8010070"
"Calbe (Saale) West","8010071"
"Buxtehude","8001315"
"Calberlah","8001318"
"Cammin (Meckl)","8011307"
"Camburg (Saale)","8013474"
"Calw","8000063"
"Capelle (Westf)","8001323"
"Casekow","8011311"
"Caputh-Geltow","8011308"
"Castrop-Rauxel Hbf","8001327"
"Castrop-Rauxel-Merklinde","8001329"
"Castrop-Rauxel Süd","8001328"
"Chamerau","8001331"
"Cham (Oberpf)","8001330"
"Celle Pbf","8000064"
"Chemnitz Kinderwaldstätte","8011970"
"Chemnitz-Borna Hp","8011974"
"Chorin","8011314"
"Chemnitz-Hilbersdorf Hp","8013450"
"Chemnitz-Siegmar","8011980"
"Clausnitz","8011315"
"Clarholz","8001335"
"Chemnitz Süd","8010185"
"Chemnitz Mitte","8011971"
"Chemnitz-Schönau","8011979"
"Cloppenburg","8001337"
"Coburg","8001338"
"Coburg-Neuses","8001339"
"Contwig","8001341"
"Coesfeld (Westf)","8000066"
"Cölbe","8000065"
"Cochem (Mosel)","8001340"
"Coppenbrügge","8001342"
"Chemnitz Hbf","8010184"
"Coschen","8011319"
"Leipzig Coppiplatz","8080840"
"Cossebaude","8011320"
"Cranzahl","8010074"
"Coswig (Anh)","8011322"
"Creußen (Oberfr)","8001348"
"Coswig (Bz Dresden)","8010072"
"Creidlitz","8001347"
"Crailsheim","8000067"
"Crimmitschau","8011325"
"Crivitz","8011326"
"Cottbus","8010073"
"Konz Mitte","8003403"
"Dabendorf","8011334"
"Cuxhaven","8001352"
"Dachau Stadt","8001355"
"Dachwig","8011336"
"Dachrieden","8011335"
"Dahl","8001357"
"Dahlem (Eifel)","8001359"
"Dahlen (Sachs)","8011339"
"Dahlbruch","8001358"
"Dahlenburg","8001360"
"Dachau Bahnhof","8001354"
"Dalheim","8001365"
"Dahlerbrück","8001362"
"Dahlewitz","8011340"
"Dallau","8001366"
"Dannenberg Ost","8001372"
"Dannenwalde (Kr Gransee)","8011344"
"Darching","8001373"
"Darlingerode","8011346"
"Dallgow-Döberitz","8080260"
"Darmstadt Nord","8001375"
"Darmstadt Ost","8001376"
"Darmstadt Süd","8001377"
"Berlin Hauptbahnhof","8011160"
"Darmstadt-Arheilgen","8001378"
"Darmstadt-Eberstadt","8001379"
"Darmstadt-Kranichstein","8001380"
"Dasing","8001382"
"Dattenfeld (Sieg)","8001384"
"Dauenhof","8001387"
"Daufenbach","8001388"
"Dausenau","8001389"
"Dedenhausen","8001392"
"Davensberg","8001390"
"Dedensen / Gümmer","8001393"
"Deining (Oberpf)","8001400"
"Dedinghausen","8001394"
"Deidesheim","8001399"
"Delitzsch ob Bf","8080280"
"Deggendorf Hbf","8001397"
"Darmstadt Hbf","8000068"
