date,departure_time,arrival_time,stops,price,tickettype
20181119,2018-11-19T16:04:00.000Z,2018-11-19T19:58:00.000Z,1,79.9,Super Sparpreis
20181119,2018-11-19T16:28:00.000Z,2018-11-19T20:44:00.000Z,1,79.9,Super Sparpreis
20181119,2018-11-19T16:33:00.000Z,2018-11-19T20:40:00.000Z,1,25.9,Super Sparpreis
20181119,2018-11-19T16:37:00.000Z,2018-11-19T20:44:00.000Z,2,25.9,Super Sparpreis
20181119,2018-11-19T16:49:00.000Z,2018-11-19T21:00:00.000Z,2,79.9,Super Sparpreis
20181119,2018-11-19T17:05:00.000Z,2018-11-19T21:36:00.000Z,2,79.9,Super Sparpreis
20181119,2018-11-19T17:30:00.000Z,2018-11-19T21:54:00.000Z,1,25.9,Super Sparpreis
20181119,2018-11-19T17:30:00.000Z,2018-11-19T22:28:00.000Z,3,29.9,Super Sparpreis
20181119,2018-11-19T18:28:00.000Z,2018-11-19T22:58:00.000Z,1,45.9,Super Sparpreis
20181119,2018-11-19T18:34:00.000Z,2018-11-19T22:52:00.000Z,2,19.9,Super Sparpreis
20181119,2018-11-19T20:28:00.000Z,2018-11-20T05:40:00.000Z,4,29.9,Super Sparpreis
20181119,2018-11-19T22:52:00.000Z,2018-11-20T06:45:00.000Z,2,25.9,Super Sparpreis
20181119,2018-11-19T22:58:00.000Z,2018-11-20T06:45:00.000Z,3,29.9,Super Sparpreis
